epoch total_loss physics_loss bc_u_loss bc_yy_loss interface_value_loss interface_dx_loss interface_dy_loss
49 5.04178381e+00 3.66793203e+00 1.00994349e+00 3.63908112e-01 2.27005199e-01 3.60655904e-01 1.58322543e-01
50 5.22657633e+00 3.85728383e+00 1.00389683e+00 3.65395635e-01 2.35861167e-01 3.55250806e-01 1.54528216e-01
51 5.08673811e+00 3.68651843e+00 1.01376224e+00 3.86457384e-01 2.32791632e-01 3.52025092e-01 1.57632917e-01
52 5.05613041e+00 3.63967633e+00 1.02048242e+00 3.95971537e-01 2.30287895e-01 3.57520014e-01 1.60113275e-01
53 5.12015295e+00 3.77728438e+00 9.77281392e-01 3.65587354e-01 2.37312242e-01 3.49506319e-01 1.58892199e-01
54 4.97743177e+00 3.62598515e+00 9.68600929e-01 3.82845998e-01 2.34352693e-01 3.44119251e-01 1.61837101e-01
55 4.93021488e+00 3.58059263e+00 9.74200964e-01 3.75421226e-01 2.39467770e-01 3.54110897e-01 1.64615571e-01
56 4.74987459e+00 3.42658210e+00 9.50828791e-01 3.72463137e-01 2.40690917e-01 3.56664687e-01 1.65035218e-01
57 4.92966270e+00 3.60214734e+00 9.81229305e-01 3.46285462e-01 2.51047224e-01 3.49942863e-01 1.63155898e-01
58 4.83577776e+00 3.48646069e+00 9.75009263e-01 3.74307185e-01 2.41445690e-01 3.52006674e-01 1.70259237e-01
59 4.83284140e+00 3.54985905e+00 9.36719537e-01 3.46262395e-01 2.38578916e-01 3.47126722e-01 1.72565296e-01
60 4.62866354e+00 3.34163737e+00 9.30911064e-01 3.56114268e-01 2.56791770e-01 3.51531625e-01 1.69258520e-01
61 4.62054825e+00 3.33316851e+00 9.22514677e-01 3.64865005e-01 2.52568573e-01 3.58558357e-01 1.74407169e-01
62 4.64041328e+00 3.34750319e+00 9.19048250e-01 3.73861343e-01 2.57758647e-01 3.55677605e-01 1.73950091e-01
63 4.67187071e+00 3.40044999e+00 9.24806356e-01 3.46613944e-01 2.65732765e-01 3.44296813e-01 1.72600180e-01
64 4.66473103e+00 3.37210488e+00 9.17524278e-01 3.75101686e-01 2.72403806e-01 3.58758748e-01 1.74423397e-01
65 4.51797485e+00 3.22803330e+00 9.11737561e-01 3.78203422e-01 2.70062327e-01 3.56360465e-01 1.78462446e-01
66 4.57632685e+00 3.31361818e+00 9.09264863e-01 3.53443086e-01 2.71632612e-01 3.58636469e-01 1.80249155e-01
67 4.53355551e+00 3.25021029e+00 9.18469787e-01 3.64874810e-01 2.88564861e-01 3.58030856e-01 1.76704332e-01
68 4.30039835e+00 3.03038716e+00 9.11283553e-01 3.58727038e-01 2.73802578e-01 3.61195266e-01 1.85137674e-01
69 4.29015970e+00 3.06410742e+00 8.74270797e-01 3.51780802e-01 2.92203456e-01 3.54040325e-01 1.80137902e-01
70 4.42073727e+00 3.16109228e+00 8.82264256e-01 3.77380461e-01 2.84015775e-01 3.54184330e-01 1.85905218e-01
71 4.28467512e+00 3.01954556e+00 8.91025424e-01 3.74103457e-01 2.96593130e-01 3.52047801e-01 1.84304401e-01
72 4.22147942e+00 2.98101997e+00 8.86619091e-01 3.53839725e-01 2.86575735e-01 3.62477422e-01 1.92291275e-01
73 4.29837513e+00 3.08503628e+00 8.54593813e-01 3.58744651e-01 3.04167777e-01 3.57579470e-01 1.88385621e-01
74 4.11429358e+00 2.91808748e+00 8.62299323e-01 3.33906233e-01 3.04115415e-01 3.65155816e-01 1.91453502e-01
75 4.17369890e+00 2.94810963e+00 8.59635353e-01 3.65953267e-01 2.98471391e-01 3.69165301e-01 1.97802901e-01
76 4.08566475e+00 2.84986711e+00 8.71633470e-01 3.64163756e-01 2.90388197e-01 3.49957168e-01 2.00038090e-01
77 4.05767918e+00 2.85876513e+00 8.66018832e-01 3.32894832e-01 3.12837154e-01 3.60140920e-01 1.97384506e-01
78 4.02722406e+00 2.83361006e+00 8.38656366e-01 3.54957134e-01 3.21670443e-01 3.57935131e-01 1.96381688e-01
79 4.11078596e+00 2.89322424e+00 8.46937478e-01 3.70624065e-01 3.07459950e-01 3.41660857e-01 2.01718211e-01
80 3.93764782e+00 2.76287556e+00 8.25554609e-01 3.49217445e-01 2.98731834e-01 3.67091417e-01 2.11791947e-01
81 3.95070529e+00 2.77815056e+00 8.30841899e-01 3.41712356e-01 3.22003931e-01 3.65596294e-01 2.06524983e-01
82 3.83207917e+00 2.64078093e+00 8.13771009e-01 3.77526939e-01 3.15506816e-01 3.61887872e-01 2.12338597e-01
83 3.82146978e+00 2.66582322e+00 8.02045047e-01 3.53601158e-01 3.36735070e-01 3.65872622e-01 2.08739221e-01
84 3.74162459e+00 2.58346295e+00 8.30675304e-01 3.27485979e-01 3.37315947e-01 3.62965643e-01 2.09880635e-01
85 3.86863160e+00 2.67475128e+00 8.13907146e-01 3.79972875e-01 3.34746361e-01 3.70458782e-01 2.16745615e-01
86 3.59697676e+00 2.45723128e+00 7.96955705e-01 3.42789322e-01 3.46286267e-01 3.60391915e-01 2.12575302e-01
87 3.65261555e+00 2.47478676e+00 8.27022076e-01 3.50806415e-01 3.39945555e-01 3.71494710e-01 2.20471025e-01
88 3.63668966e+00 2.47504425e+00 8.07058513e-01 3.54586512e-01 3.47648233e-01 3.70749623e-01 2.21313551e-01
89 3.59843874e+00 2.45129180e+00 7.97651172e-01 3.49495709e-01 3.56518626e-01 3.70115191e-01 2.20386416e-01
90 3.61901021e+00 2.44567060e+00 8.06134224e-01 3.67205113e-01 3.22491735e-01 3.73374939e-01 2.35447764e-01
91 3.50481105e+00 2.36499643e+00 7.75332391e-01 3.64481896e-01 3.47477973e-01 3.75927985e-01 2.31383413e-01
92 3.40439439e+00 2.27644467e+00 7.72321105e-01 3.55628163e-01 3.61659139e-01 3.65841985e-01 2.28413567e-01
93 3.34512925e+00 2.23157978e+00 7.79785931e-01 3.33763033e-01 3.63017887e-01 3.63473862e-01 2.30339214e-01
94 3.32600760e+00 2.18327689e+00 7.63698399e-01 3.79031867e-01 3.66783977e-01 3.58338296e-01 2.32325599e-01
95 3.45210528e+00 2.33626103e+00 7.53714383e-01 3.62129748e-01 3.54997307e-01 3.65668952e-01 2.40380630e-01
96 3.24810743e+00 2.17759967e+00 7.45828688e-01 3.24678600e-01 3.79167169e-01 3.74497235e-01 2.36557931e-01
97 3.20686793e+00 2.09871411e+00 7.55503237e-01 3.52650225e-01 3.68008226e-01 3.72193426e-01 2.43888259e-01
98 3.21430898e+00 2.11318564e+00 7.46317208e-01 3.54805768e-01 3.80943269e-01 3.76155317e-01 2.42954835e-01
99 3.12251973e+00 2.05728555e+00 7.38031089e-01 3.27202469e-01 3.87875021e-01 3.74247611e-01 2.45198458e-01
100 3.19698000e+00 2.12553763e+00 7.26444304e-01 3.44997585e-01 3.69871914e-01 3.74310136e-01 2.54504353e-01
101 3.06792712e+00 1.99753106e+00 7.31546938e-01 3.38848680e-01 3.89111847e-01 3.66401434e-01 2.48447895e-01
102 3.09178138e+00 2.02644897e+00 7.33177841e-01 3.32154006e-01 4.01097029e-01 3.75536382e-01 2.50197142e-01
103 3.00783706e+00 1.96162832e+00 7.14501143e-01 3.31707180e-01 3.94554615e-01 3.79724890e-01 2.56522447e-01
104 3.01201296e+00 1.93323290e+00 7.24352241e-01 3.54427397e-01 3.92965257e-01 3.71123850e-01 2.59354711e-01
105 2.94684553e+00 1.89331567e+00 7.07361400e-01 3.46168041e-01 3.94968301e-01 3.88831705e-01 2.64382690e-01
106 2.96793365e+00 1.93650734e+00 6.95167959e-01 3.36257875e-01 4.08355743e-01 3.85222286e-01 2.63227224e-01
107 2.88066530e+00 1.83771515e+00 6.84922934e-01 3.58026862e-01 4.03211564e-01 3.89291763e-01 2.68891692e-01
108 2.82688522e+00 1.77507591e+00 7.05926836e-01 3.45881879e-01 3.90819520e-01 3.79693478e-01 2.74642080e-01
109 2.84256768e+00 1.81976223e+00 6.91791654e-01 3.31013441e-01 3.91500443e-01 3.82351458e-01 2.78570741e-01
110 2.73984337e+00 1.73095012e+00 6.94926918e-01 3.13965768e-01 4.06131715e-01 3.89195800e-01 2.77391136e-01
111 2.79198980e+00 1.74328947e+00 6.85835361e-01 3.62864375e-01 4.64179426e-01 3.67485344e-01 2.57045239e-01
112 2.62086105e+00 1.60684264e+00 6.77614927e-01 3.36402833e-01 4.16972071e-01 3.91220897e-01 2.80123055e-01
113 2.62646961e+00 1.65261674e+00 6.58693135e-01 3.15159231e-01 4.36770111e-01 3.84947568e-01 2.76327133e-01
114 2.63921809e+00 1.61182225e+00 6.83147967e-01 3.44247282e-01 4.24851596e-01 3.83198470e-01 2.82627195e-01
115 2.58687043e+00 1.59290838e+00 6.56892240e-01 3.37069213e-01 4.07425463e-01 3.93681228e-01 2.94013917e-01
116 2.50178647e+00 1.51042950e+00 6.58803105e-01 3.32553297e-01 4.25093532e-01 3.92174214e-01 2.91058540e-01
117 2.59631419e+00 1.57784271e+00 6.53968334e-01 3.64502728e-01 4.23683912e-01 3.96577358e-01 2.94269264e-01
118 2.49102974e+00 1.52104127e+00 6.34995282e-01 3.34992737e-01 4.32344645e-01 3.95942301e-01 2.95283139e-01
119 2.44788265e+00 1.47897828e+00 6.41224325e-01 3.27679574e-01 4.22926635e-01 3.86447608e-01 3.00326884e-01
120 2.38027072e+00 1.41469765e+00 6.49700701e-01 3.15871954e-01 4.27225292e-01 3.89117122e-01 3.02822530e-01
121 2.40055323e+00 1.43283546e+00 6.34236634e-01 3.33480686e-01 4.44422156e-01 3.84305298e-01 2.98589021e-01
122 2.33116627e+00 1.39744902e+00 6.06090665e-01 3.27626139e-01 4.36745107e-01 3.91115665e-01 3.06590170e-01
123 2.28476286e+00 1.34413779e+00 6.11968517e-01 3.28656048e-01 4.79402274e-01 3.72366756e-01 2.90160894e-01
124 2.29031062e+00 1.33092165e+00 6.27358317e-01 3.32030267e-01 4.50587600e-01 3.94614637e-01 3.06202859e-01
125 2.24762940e+00 1.33235586e+00 5.94324172e-01 3.20948869e-01 4.61800426e-01 3.96526694e-01 3.06119144e-01
126 2.27297640e+00 1.32201457e+00 6.21946692e-01 3.29014689e-01 4.48918402e-01 3.97963524e-01 3.12419534e-01
127 2.22638845e+00 1.31340683e+00 6.03966594e-01 3.09014618e-01 4.41267669e-01 4.02038902e-01 3.19121212e-01
128 2.12283993e+00 1.18523800e+00 6.01794481e-01 3.35806847e-01 4.50138718e-01 3.93965781e-01 3.17874968e-01
129 2.07616377e+00 1.14595163e+00 6.00346327e-01 3.29865336e-01 4.68563408e-01 3.81395251e-01 3.13302279e-01
130 2.12251854e+00 1.18762732e+00 5.91928542e-01 3.42962265e-01 4.73327219e-01 3.96290958e-01 3.14532220e-01
131 2.06319094e+00 1.16188359e+00 5.83098471e-01 3.18208486e-01 4.75713074e-01 3.80029619e-01 3.15373451e-01
132 1.99996328e+00 1.11619627e+00 5.74549973e-01 3.09216440e-01 4.72387195e-01 4.00146246e-01 3.21136177e-01
133 1.92504811e+00 1.03459716e+00 5.72104752e-01 3.18345785e-01 4.66637671e-01 4.09121722e-01 3.25898767e-01
134 2.02393699e+00 1.12327027e+00 5.68361402e-01 3.32304925e-01 4.81352210e-01 4.03677166e-01 3.22270542e-01
135 1.92836118e+00 1.04152656e+00 5.59793532e-01 3.27040702e-01 4.65756327e-01 3.98997247e-01 3.29986393e-01
136 1.86511028e+00 9.85154271e-01 5.52053452e-01 3.27902108e-01 4.58024800e-01 4.10484910e-01 3.36018354e-01
137 1.79213655e+00 9.27191079e-01 5.23969054e-01 3.40975910e-01 5.01498044e-01 3.97814572e-01 3.21094155e-01
138 1.83110166e+00 9.45412040e-01 5.64129293e-01 3.21559846e-01 5.01761794e-01 4.03130680e-01 3.23441386e-01
139 1.79437160e+00 9.33301330e-01 5.44027209e-01 3.17042559e-01 4.83886331e-01 4.00573313e-01 3.30887407e-01
140 1.78218651e+00 9.24929976e-01 5.34636974e-01 3.22619081e-01 5.14519751e-01 3.92862976e-01 3.21281105e-01
141 1.75838840e+00 9.07626390e-01 5.28967440e-01 3.21794152e-01 4.77086514e-01 4.07304823e-01 3.37303132e-01
142 1.70390701e+00 8.31669331e-01 5.47127128e-01 3.25110048e-01 4.85558689e-01 4.07551050e-01 3.35430175e-01
143 1.70255542e+00 8.64790320e-01 5.14349818e-01 3.23414743e-01 4.80537027e-01 4.09750283e-01 3.38388979e-01
144 1.66702056e+00 8.40042353e-01 5.29453635e-01 2.97524065e-01 4.79809523e-01 4.08188403e-01 3.41251463e-01
145 1.68400609e+00 8.35534811e-01 5.32223940e-01 3.16246897e-01 4.92343634e-01 4.06123579e-01 3.36442590e-01
146 1.58405185e+00 7.73832023e-01 5.03949285e-01 3.06270093e-01 4.77931350e-01 4.18789625e-01 3.43398422e-01
147 1.61525464e+00 7.90152550e-01 5.08374929e-01 3.16726714e-01 4.95764345e-01 4.05636698e-01 3.36949587e-01
148 1.58151376e+00 7.54660428e-01 5.04189849e-01 3.22662920e-01 5.05950511e-01 4.12122726e-01 3.34069073e-01
149 1.50647235e+00 7.09268332e-01 4.94121343e-01 3.03082228e-01 5.02468407e-01 3.99139792e-01 3.35913956e-01
150 1.48571455e+00 6.80432320e-01 4.84969527e-01 3.20312262e-01 4.87739563e-01 4.15036768e-01 3.42222154e-01
151 1.43854284e+00 6.44291103e-01 4.81883198e-01 3.12368065e-01 4.82482731e-01 4.13970113e-01 3.44133735e-01
152 1.44755650e+00 6.72367573e-01 4.68332142e-01 3.06856304e-01 4.72586811e-01 4.24410373e-01 3.49753350e-01
153 1.43256688e+00 6.65183365e-01 4.73170608e-01 2.94212490e-01 5.09564161e-01 4.10414785e-01 3.34336162e-01
154 1.38156128e+00 6.20140254e-01 4.55744773e-01 3.05675745e-01 4.98030484e-01 4.18601006e-01 3.39576662e-01
155 1.38526726e+00 6.01549864e-01 4.55236405e-01 3.28480422e-01 5.07461727e-01 4.12367910e-01 3.35056245e-01
156 1.35585964e+00 6.17713571e-01 4.40080941e-01 2.98064590e-01 4.89877820e-01 4.27409470e-01 3.43067616e-01
157 1.34434354e+00 5.87443769e-01 4.56164926e-01 3.00734371e-01 5.05389810e-01 4.08850312e-01 3.34844172e-01
158 1.33902502e+00 5.85448980e-01 4.41688448e-01 3.11887205e-01 5.23493528e-01 4.17017162e-01 3.29025000e-01
159 1.28716207e+00 5.33729911e-01 4.39841151e-01 3.13590497e-01 5.07607698e-01 4.19951081e-01 3.34165365e-01
160 1.22358263e+00 4.96450275e-01 4.29260463e-01 2.97871441e-01 4.81004387e-01 4.31379229e-01 3.43678623e-01
161 1.31034565e+00 5.80627084e-01 4.22932863e-01 3.06785226e-01 4.88529235e-01 4.29829180e-01 3.39895725e-01
162 1.24269009e+00 5.07198930e-01 4.36416566e-01 2.99074054e-01 4.94256198e-01 4.30690378e-01 3.36801529e-01
163 1.19544148e+00 4.71915692e-01 4.16632861e-01 3.06892484e-01 5.03655732e-01 4.31629300e-01 3.33070666e-01
164 1.19965601e+00 4.69968408e-01 4.06888694e-01 3.22798461e-01 4.95401144e-01 4.25736576e-01 3.33811313e-01
165 1.15714061e+00 4.61392730e-01 3.95919025e-01 2.99828380e-01 4.81043041e-01 4.39259768e-01 3.38946283e-01
166 1.17217946e+00 4.74640131e-01 3.93908769e-01 3.03630084e-01 5.04828453e-01 4.38187778e-01 3.29809278e-01
167 1.13633490e+00 4.35677469e-01 3.98640335e-01 3.02016675e-01 4.98788148e-01 4.42081511e-01 3.30499560e-01
168 1.12880361e+00 4.37798321e-01 3.98408353e-01 2.92596430e-01 4.90100741e-01 4.35060054e-01 3.31362575e-01
169 1.08836150e+00 3.90982091e-01 3.90974045e-01 3.06404859e-01 5.08445680e-01 4.33113277e-01 3.23510200e-01
170 1.10658145e+00 4.31740880e-01 3.80751997e-01 2.94088066e-01 4.82880622e-01 4.29786861e-01 3.29545140e-01
171 1.06712794e+00 3.79675597e-01 3.66964906e-01 3.20487022e-01 4.64120626e-01 4.43263501e-01 3.36072981e-01
172 1.08726251e+00 4.14002031e-01 3.78050834e-01 2.95209169e-01 5.02160907e-01 4.25287008e-01 3.20737422e-01
173 1.06075311e+00 3.73618454e-01 3.65080297e-01 3.22053879e-01 4.79434490e-01 4.41352695e-01 3.26799124e-01
174 1.07080960e+00 4.18462902e-01 3.58202547e-01 2.94143736e-01 5.02184689e-01 4.33535457e-01 3.16672266e-01
175 1.03824937e+00 3.75745147e-01 3.51579249e-01 3.10924500e-01 4.95454967e-01 4.30272877e-01 3.17298293e-01
176 9.96551514e-01 3.52587461e-01 3.53433430e-01 2.90530175e-01 4.74652290e-01 4.41947132e-01 3.22688401e-01
177 1.01272821e+00 3.75844389e-01 3.48586112e-01 2.88297266e-01 4.98406112e-01 4.46719795e-01 3.12935948e-01
178 9.96811330e-01 3.57268870e-01 3.40364575e-01 2.99177408e-01 4.95840728e-01 4.41897273e-01 3.11142981e-01
179 9.34352636e-01 2.89444774e-01 3.38687420e-01 3.06219906e-01 5.02839327e-01 4.33295816e-01 3.07308286e-01
180 9.70988631e-01 3.33916336e-01 3.32443267e-01 3.04628551e-01 4.61707264e-01 4.52684790e-01 3.18742245e-01
181 9.36439693e-01 2.97187924e-01 3.27315539e-01 3.11935723e-01 4.90682125e-01 4.33390975e-01 3.06037843e-01
182 9.32923079e-01 3.03720504e-01 3.19197804e-01 3.10004294e-01 5.02582073e-01 4.36990201e-01 3.00905019e-01
183 9.28473711e-01 3.05490941e-01 3.20793152e-01 3.02189112e-01 4.89851505e-01 4.28792089e-01 3.01437616e-01
184 9.13578331e-01 2.94436753e-01 3.16550046e-01 3.02591026e-01 4.91799086e-01 4.26581740e-01 2.99432069e-01
185 8.54959905e-01 2.50086576e-01 3.08433652e-01 2.96439230e-01 4.96902466e-01 4.43867862e-01 2.95531690e-01
186 8.50136936e-01 2.55817294e-01 3.05630267e-01 2.88688898e-01 4.85030144e-01 4.43087965e-01 2.97155797e-01
187 8.73423815e-01 2.80839145e-01 2.94543058e-01 2.98041135e-01 4.90090489e-01 4.44699585e-01 2.93670237e-01
188 8.51412058e-01 2.62240708e-01 3.00950259e-01 2.88220674e-01 4.84730750e-01 4.41715091e-01 2.93331623e-01
189 8.50222051e-01 2.74787456e-01 2.80877531e-01 2.94556558e-01 4.81710613e-01 4.52665031e-01 2.92173088e-01
190 8.27148438e-01 2.46278584e-01 2.84258306e-01 2.96611071e-01 4.83577460e-01 4.52131689e-01 2.90055186e-01
191 7.88209081e-01 2.47790381e-01 2.68266857e-01 2.72151351e-01 4.75395858e-01 4.50500607e-01 2.89477915e-01
192 8.23893487e-01 2.56969959e-01 2.81090617e-01 2.85832465e-01 4.82079536e-01 4.43325937e-01 2.85006046e-01
193 7.88553536e-01 2.32178822e-01 2.71141261e-01 2.85232902e-01 5.10368168e-01 4.34733808e-01 2.75294065e-01
194 7.76921272e-01 2.31296971e-01 2.61688828e-01 2.83934981e-01 4.50078905e-01 4.57878739e-01 2.91482180e-01
195 7.74936318e-01 2.25220561e-01 2.64103025e-01 2.85612285e-01 4.94936287e-01 4.44383264e-01 2.76795894e-01
196 7.54365742e-01 1.91506028e-01 2.63183713e-01 2.99675524e-01 4.98963207e-01 4.38911200e-01 2.73856878e-01
197 7.40030646e-01 1.98562533e-01 2.58311570e-01 2.83156037e-01 4.65270460e-01 4.48802233e-01 2.81410933e-01
198 7.09551990e-01 1.69915423e-01 2.56988674e-01 2.82647371e-01 5.09480298e-01 4.31986749e-01 2.66412407e-01
199 7.21264243e-01 1.71587676e-01 2.54802763e-01 2.94873297e-01 4.93596703e-01 4.44137394e-01 2.70108521e-01
200 7.38837004e-01 1.92589760e-01 2.48530105e-01 2.97716677e-01 4.77323771e-01 4.56997931e-01 2.73237169e-01
201 7.34556794e-01 1.90487772e-01 2.43459836e-01 3.00608665e-01 4.86203760e-01 4.46618170e-01 2.69263536e-01
202 7.02456474e-01 1.89468920e-01 2.31997564e-01 2.80989558e-01 4.85090077e-01 4.50105101e-01 2.68044144e-01
203 6.85720980e-01 1.89757407e-01 2.34981939e-01 2.60981143e-01 4.68661547e-01 4.57902908e-01 2.71001428e-01
204 7.51768589e-01 2.27830246e-01 2.30271846e-01 2.93666035e-01 4.73894179e-01 4.61430192e-01 2.68952698e-01
205 6.87561512e-01 1.80208549e-01 2.29567915e-01 2.77784586e-01 4.83001649e-01 4.67381477e-01 2.64772922e-01
206 6.65429473e-01 1.62769750e-01 2.20529765e-01 2.82129437e-01 4.66132820e-01 4.70508158e-01 2.69494802e-01
207 6.96984053e-01 1.95599243e-01 2.23530173e-01 2.77854085e-01 5.11776626e-01 4.35674906e-01 2.53729492e-01
208 6.99540138e-01 1.79967880e-01 2.26365179e-01 2.93206602e-01 4.85917717e-01 4.60237145e-01 2.61205971e-01
209 6.79272175e-01 1.72462940e-01 2.17901468e-01 2.88907319e-01 5.06058872e-01 4.42551672e-01 2.53932863e-01
210 6.55332088e-01 1.72989726e-01 2.17921957e-01 2.64419913e-01 5.01970649e-01 4.50533599e-01 2.53863424e-01
211 6.43971562e-01 1.53317794e-01 2.06792206e-01 2.83861101e-01 4.97607887e-01 4.48390424e-01 2.56258518e-01
212 6.52220786e-01 1.72613233e-01 2.08131343e-01 2.71475673e-01 5.08377492e-01 4.54714328e-01 2.49669790e-01
213 6.66381240e-01 1.94949836e-01 2.04516917e-01 2.66914010e-01 4.83857185e-01 4.70287591e-01 2.56025761e-01
