epoch total_loss L_interior L_down_yy L_up_yy L_down L_up L_left L_right
5.900000000000e+01 2.027554064989e-01 2.746861800551e-02 1.053414419293e-01 2.159648202360e-02 1.897956244648e-02 7.236587814987e-03 4.046018701047e-03 1.808670535684e-02
6.000000000000e+01 1.892074197531e-01 2.890445850790e-02 9.387467056513e-02 2.016034163535e-02 1.759107969701e-02 7.382926531136e-03 4.029381088912e-03 1.726455800235e-02
6.100000000000e+01 1.896859258413e-01 2.632479742169e-02 9.664902836084e-02 1.995578780770e-02 1.781979016960e-02 7.313182111830e-03 3.896001726389e-03 1.772735081613e-02
6.200000000000e+01 1.879020184278e-01 2.941998839378e-02 9.267111867666e-02 1.992914639413e-02 1.687192916870e-02 7.341066841036e-03 3.837843192741e-03 1.783091761172e-02
6.300000000000e+01 1.907600164413e-01 2.830306626856e-02 9.623996168375e-02 2.002497017384e-02 1.641316711903e-02 7.192217279226e-03 3.961936570704e-03 1.862468570471e-02
6.400000000000e+01 1.966216266155e-01 3.015163913369e-02 1.009694859385e-01 1.874282397330e-02 1.643161661923e-02 6.366483867168e-03 4.455153830349e-03 1.950442232192e-02
6.500000000000e+01 1.943711638451e-01 2.765849418938e-02 1.005676314235e-01 1.830022968352e-02 1.692262664437e-02 6.386994849890e-03 4.876447841525e-03 1.965873502195e-02
6.600000000000e+01 1.948538124561e-01 2.711653709412e-02 1.034091413021e-01 1.765910908580e-02 1.589045673609e-02 6.047183182091e-03 4.939730744809e-03 1.979163847864e-02
6.700000000000e+01 1.954677402973e-01 2.811085432768e-02 9.973511844873e-02 1.881326735020e-02 1.672529615462e-02 5.966295488179e-03 5.043263547122e-03 2.107364311814e-02
6.800000000000e+01 1.929256469011e-01 2.853609435260e-02 9.539990127087e-02 1.851235888898e-02 1.648872531950e-02 6.198662798852e-03 4.830661695451e-03 2.295925281942e-02
6.900000000000e+01 1.868249922991e-01 2.886234782636e-02 9.092806279659e-02 1.777704618871e-02 1.703787222505e-02 6.961701903492e-03 4.671920556575e-03 2.058604545891e-02
7.000000000000e+01 1.910516023636e-01 2.726516127586e-02 9.901941567659e-02 1.814683526754e-02 1.556554157287e-02 7.939693517983e-03 4.212439525872e-03 1.890251040459e-02
7.100000000000e+01 1.806190311909e-01 2.533522062004e-02 9.053373336792e-02 1.746034249663e-02 1.732449419796e-02 8.278816007078e-03 3.838377073407e-03 1.784804090858e-02
7.200000000000e+01 1.845293194056e-01 2.496137283742e-02 9.488623589277e-02 1.842431537807e-02 1.585330814123e-02 8.873154409230e-03 3.745854599401e-03 1.778506860137e-02
7.300000000000e+01 1.890117377043e-01 2.481393143535e-02 9.971287101507e-02 1.785091124475e-02 1.544259488583e-02 8.321351371706e-03 3.914166241884e-03 1.895592920482e-02
7.400000000000e+01 1.835219562054e-01 2.484377101064e-02 9.485063701868e-02 1.780349202454e-02 1.517651975155e-02 8.423600345850e-03 4.040075000376e-03 1.838385500014e-02
7.500000000000e+01 1.882136762142e-01 2.528031915426e-02 9.872286021709e-02 1.850960776210e-02 1.523222401738e-02 8.127247914672e-03 4.410170949996e-03 1.793126016855e-02
7.600000000000e+01 1.801728010178e-01 2.583732828498e-02 8.870840817690e-02 1.808865740895e-02 1.575595885515e-02 8.250144310296e-03 4.929026588798e-03 1.860328391194e-02
7.700000000000e+01 1.870347261429e-01 2.695941738784e-02 9.595952928066e-02 1.816694438457e-02 1.429112162441e-02 8.100088685751e-03 4.924280568957e-03 1.863333582878e-02
7.800000000000e+01 1.787077188492e-01 2.369769848883e-02 9.196814149618e-02 1.725496165454e-02 1.422317605466e-02 8.614983409643e-03 4.405773244798e-03 1.854299195111e-02
7.900000000000e+01 1.852914392948e-01 2.465876564384e-02 9.722212702036e-02 1.726983301342e-02 1.510660257190e-02 8.957497775555e-03 3.883310128003e-03 1.819328404963e-02
8.000000000000e+01 1.760912537575e-01 2.410069853067e-02 8.999502658844e-02 1.672522723675e-02 1.452487427741e-02 9.506219998002e-03 3.459300845861e-03 1.777988672256e-02
8.100000000000e+01 1.847334802151e-01 2.533969283104e-02 9.497518837452e-02 1.659752987325e-02 1.535207591951e-02 1.040081679821e-02 3.467880422249e-03 1.860029622912e-02
8.200000000000e+01 1.762661635876e-01 2.400737069547e-02 9.065902233124e-02 1.573305577040e-02 1.563085615635e-02 9.958079084754e-03 3.360334783792e-03 1.691745407879e-02
8.300000000000e+01 1.739808171988e-01 2.435334213078e-02 8.743406087160e-02 1.549071259797e-02 1.423594541848e-02 9.763512760401e-03 3.616911591962e-03 1.908632554114e-02
8.400000000000e+01 1.716789603233e-01 2.286182530224e-02 8.851294219494e-02 1.543455477804e-02 1.329538039863e-02 9.111591614783e-03 3.825021674857e-03 1.863763481379e-02
8.500000000000e+01 1.762215197086e-01 2.333171293139e-02 8.891061693430e-02 1.578716933727e-02 1.519204024225e-02 8.354223333299e-03 4.064795561135e-03 2.058095857501e-02
8.600000000000e+01 1.754118502140e-01 2.316729538143e-02 9.002310782671e-02 1.493594795465e-02 1.478381827474e-02 8.483200334013e-03 4.075957462192e-03 1.994252577424e-02
8.700000000000e+01 1.763111650944e-01 2.222974225879e-02 9.060977399349e-02 1.456737145782e-02 1.638184115291e-02 8.855115622282e-03 4.269518423826e-03 1.939777471125e-02
8.800000000000e+01 1.704268902540e-01 2.360069938004e-02 8.556865155697e-02 1.451888121665e-02 1.464776508510e-02 8.224964141846e-03 3.945344127715e-03 1.992058940232e-02
8.900000000000e+01 1.665339171886e-01 2.203530259430e-02 8.464259654284e-02 1.420261245221e-02 1.448360364884e-02 8.900537155569e-03 3.725041169673e-03 1.854422688484e-02
9.000000000000e+01 1.696674674749e-01 2.269302308559e-02 8.598729223013e-02 1.397274993360e-02 1.475822087377e-02 9.696695022285e-03 3.651471110061e-03 1.890802010894e-02
9.100000000000e+01 1.741584390402e-01 2.443239092827e-02 9.145015478134e-02 1.333502586931e-02 1.426654495299e-02 9.353458881378e-03 4.028682131320e-03 1.729219220579e-02
9.200000000000e+01 1.656072586775e-01 2.183885127306e-02 8.347265422344e-02 1.464483141899e-02 1.409238297492e-02 8.697248995304e-03 4.199848044664e-03 1.866144314408e-02
9.300000000000e+01 1.675024777651e-01 2.082876674831e-02 8.697418868542e-02 1.409219112247e-02 1.429340895265e-02 8.065926842391e-03 4.402411635965e-03 1.884558983147e-02
9.400000000000e+01 1.642666012049e-01 2.186383120716e-02 8.447253704071e-02 1.416139118373e-02 1.393406465650e-02 8.003705181181e-03 4.777155350894e-03 1.705391705036e-02
9.500000000000e+01 1.624156385660e-01 2.278449572623e-02 8.123865723610e-02 1.403244305402e-02 1.429819036275e-02 7.620922289789e-03 4.982535261661e-03 1.745840907097e-02
9.600000000000e+01 1.693102568388e-01 2.070091105998e-02 8.896422386169e-02 1.456512883306e-02 1.515152025968e-02 7.924631237984e-03 4.625272005796e-03 1.737856678665e-02
9.700000000000e+01 1.689932197332e-01 2.397582307458e-02 8.699396252632e-02 1.370327267796e-02 1.438002008945e-02 8.559576235712e-03 4.337220452726e-03 1.704335585237e-02
9.800000000000e+01 1.595248728991e-01 1.927701570094e-02 8.338577300310e-02 1.370293460786e-02 1.405096612871e-02 9.158646687865e-03 4.091218113899e-03 1.585832238197e-02
9.900000000000e+01 1.649608761072e-01 2.011375129223e-02 8.814994245768e-02 1.346729882061e-02 1.488853525370e-02 8.774301968515e-03 4.150229040533e-03 1.541682705283e-02
1.000000000000e+02 1.723437309265e-01 2.214103564620e-02 9.237006306648e-02 1.379757281393e-02 1.481178402901e-02 8.076569996774e-03 4.104590043426e-03 1.704213023186e-02
1.010000000000e+02 1.582041978836e-01 1.832313649356e-02 8.269877731800e-02 1.308763772249e-02 1.496152300388e-02 7.621407508850e-03 4.357201512903e-03 1.715451106429e-02
1.020000000000e+02 1.631864309311e-01 1.935891248286e-02 8.591514825821e-02 1.314100623131e-02 1.491256617010e-02 7.858187891543e-03 4.280154593289e-03 1.772045902908e-02
1.030000000000e+02 1.597002893686e-01 1.895561628044e-02 8.350621908903e-02 1.341198477894e-02 1.377242151648e-02 7.833744399250e-03 4.295854829252e-03 1.792444847524e-02
1.040000000000e+02 1.618678718805e-01 2.110672183335e-02 8.445218205452e-02 1.243843883276e-02 1.457839086652e-02 7.757038343698e-03 3.931046929210e-03 1.760405488312e-02
1.050000000000e+02 1.673456728458e-01 2.218993566930e-02 8.843555301428e-02 1.238389033824e-02 1.511565223336e-02 8.097435347736e-03 3.933920059353e-03 1.718928664923e-02
1.060000000000e+02 1.502770632505e-01 1.963516697288e-02 7.614947855473e-02 1.235774904490e-02 1.343675050884e-02 8.014854975045e-03 3.645141376182e-03 1.703792624176e-02
1.070000000000e+02 1.552916616201e-01 1.825082488358e-02 8.143337070942e-02 1.227125246078e-02 1.405057404190e-02 8.117401972413e-03 3.917842637748e-03 1.725039258599e-02
1.080000000000e+02 1.609073877335e-01 1.901752874255e-02 8.733599632978e-02 1.215198542923e-02 1.400954648852e-02 8.112232200801e-03 3.953224513680e-03 1.632688194513e-02
1.090000000000e+02 1.587380617857e-01 1.818124577403e-02 8.642407506704e-02 1.151792798191e-02 1.359832845628e-02 8.032461628318e-03 4.172131419182e-03 1.681190729141e-02
1.100000000000e+02 1.562926471233e-01 1.945153065026e-02 8.231883496046e-02 1.153421308845e-02 1.382037531585e-02 7.739865686744e-03 4.048772621900e-03 1.737903803587e-02
1.110000000000e+02 1.532507538795e-01 1.862478256226e-02 7.994282990694e-02 1.185716129839e-02 1.284038182348e-02 7.941837422550e-03 4.196084104478e-03 1.784768700600e-02
1.120000000000e+02 1.526916921139e-01 1.888910681009e-02 8.107081800699e-02 1.136910449713e-02 1.323604304343e-02 8.092817850411e-03 3.859271993861e-03 1.617454364896e-02
1.130000000000e+02 1.550636440516e-01 1.948659121990e-02 8.053697645664e-02 1.130198128521e-02 1.382998004556e-02 8.441385813057e-03 4.102881532162e-03 1.736385188997e-02
1.140000000000e+02 1.514721810818e-01 1.663810014725e-02 7.997753471136e-02 1.142745465040e-02 1.392448693514e-02 8.189272135496e-03 4.249241203070e-03 1.706608571112e-02
1.150000000000e+02 1.554933935404e-01 1.819652505219e-02 8.413739502430e-02 1.075993943959e-02 1.424735318869e-02 8.510109968483e-03 3.906468860805e-03 1.573560014367e-02
1.160000000000e+02 1.472727656364e-01 1.565301418304e-02 7.845951616764e-02 1.051456667483e-02 1.247504632920e-02 8.171825669706e-03 3.929639700800e-03 1.806916855276e-02
1.170000000000e+02 1.512538492680e-01 1.636787317693e-02 8.349649608135e-02 1.028879638761e-02 1.309401914477e-02 8.436856791377e-03 3.874514484778e-03 1.569529250264e-02
1.180000000000e+02 1.519915610552e-01 1.715688779950e-02 8.254242688417e-02 1.031794771552e-02 1.271781791002e-02 7.719759363681e-03 4.018474835902e-03 1.751823164523e-02
1.190000000000e+02 1.482690572739e-01 1.741824299097e-02 7.797905802727e-02 1.017283648252e-02 1.317623816431e-02 7.949556224048e-03 3.947261720896e-03 1.762586645782e-02
1.200000000000e+02 1.475916504860e-01 1.781372167170e-02 7.832524180412e-02 9.996077045798e-03 1.267850585282e-02 7.772489916533e-03 3.802836174145e-03 1.720278337598e-02
1.210000000000e+02 1.473311930895e-01 1.589781604707e-02 7.916267961264e-02 9.960203431547e-03 1.381851546466e-02 8.045050315559e-03 3.517640987411e-03 1.692928560078e-02
1.220000000000e+02 1.445035785437e-01 1.941731944680e-02 7.434840500355e-02 9.805866517127e-03 1.305381394923e-02 8.024248294532e-03 3.248703433201e-03 1.660522632301e-02
1.230000000000e+02 1.394862234592e-01 1.700394600630e-02 7.097920775414e-02 9.722007438540e-03 1.317410171032e-02 7.826036773622e-03 3.616338130087e-03 1.716458797455e-02
1.240000000000e+02 1.375211328268e-01 1.649789884686e-02 7.063986361027e-02 9.458164684474e-03 1.280995458364e-02 7.410879712552e-03 3.872714238241e-03 1.683166436851e-02
1.250000000000e+02 1.468077301979e-01 1.637337543070e-02 8.175697922707e-02 9.299859404564e-03 1.167503371835e-02 7.742861751467e-03 3.703302238137e-03 1.625632494688e-02
1.260000000000e+02 1.409547328949e-01 1.737416721880e-02 7.358956336975e-02 8.806059136987e-03 1.343172322959e-02 8.619545958936e-03 3.660988062620e-03 1.547269709408e-02
1.270000000000e+02 1.458593159914e-01 1.500909868628e-02 8.057808130980e-02 9.055832400918e-03 1.356898155063e-02 8.006450720131e-03 3.800757927820e-03 1.584011130035e-02
1.280000000000e+02 1.410080194473e-01 1.576476916671e-02 7.511430233717e-02 9.245641529560e-03 1.303690858185e-02 7.951216772199e-03 4.055993631482e-03 1.583918742836e-02
1.290000000000e+02 1.417296230793e-01 1.708224229515e-02 7.688093930483e-02 8.752556517720e-03 1.196810044348e-02 7.760350126773e-03 3.918626811355e-03 1.536680851132e-02
1.300000000000e+02 1.405694782734e-01 1.574625074863e-02 7.608282566071e-02 8.744015358388e-03 1.239115465432e-02 8.144765160978e-03 4.155064467341e-03 1.530540734529e-02
1.310000000000e+02 1.462113857269e-01 1.530586928129e-02 8.365669846535e-02 8.333141915500e-03 1.245993189514e-02 7.566858083010e-03 3.715726314113e-03 1.517317257822e-02
1.320000000000e+02 1.363150477409e-01 1.658146083355e-02 7.318982481956e-02 8.110070601106e-03 1.188477687538e-02 7.615723647177e-03 3.651659702882e-03 1.528152916580e-02
1.330000000000e+02 1.351601183414e-01 1.481882948428e-02 7.275366038084e-02 8.226865902543e-03 1.263892278075e-02 7.339155767113e-03 3.813100978732e-03 1.556957606226e-02
1.340000000000e+02 1.367244720459e-01 1.352188829333e-02 7.516777515411e-02 8.014217019081e-03 1.289104763418e-02 6.836182437837e-03 3.702454501763e-03 1.659091562033e-02
1.350000000000e+02 1.251549273729e-01 1.323505397886e-02 6.540668010712e-02 7.561844307929e-03 1.289597898722e-02 7.282672449946e-03 3.066445933655e-03 1.570625416934e-02
1.360000000000e+02 1.297246217728e-01 1.275309454650e-02 7.088013738394e-02 7.598856464028e-03 1.311459951103e-02 7.191210053861e-03 2.955670934170e-03 1.523105893284e-02
1.370000000000e+02 1.359861791134e-01 1.385520771146e-02 7.706727832556e-02 7.253580726683e-03 1.221368927509e-02 7.613533176482e-03 3.096918808296e-03 1.488596387208e-02
1.380000000000e+02 1.326135396957e-01 1.288484875113e-02 7.392857968807e-02 6.870537530631e-03 1.219141669571e-02 6.789413746446e-03 3.680801950395e-03 1.626793667674e-02
1.390000000000e+02 1.270696520805e-01 1.346911676228e-02 6.720124930143e-02 7.495098281652e-03 1.143293268979e-02 6.419935729355e-03 3.709278535098e-03 1.734203845263e-02
1.400000000000e+02 1.324316263199e-01 1.281939633191e-02 7.457108050585e-02 6.958787329495e-03 1.145229581743e-02 7.649868261069e-03 3.285235958174e-03 1.569495350122e-02
1.410000000000e+02 1.254342794418e-01 1.382532529533e-02 6.710911542177e-02 6.714147049934e-03 1.222979370505e-02 7.784116547555e-03 3.288429928944e-03 1.448335312307e-02
1.420000000000e+02 1.248473078012e-01 1.344468351454e-02 6.833655387163e-02 6.520043592900e-03 1.167739741504e-02 7.842439226806e-03 2.898801350966e-03 1.412738487124e-02
1.430000000000e+02 1.227695569396e-01 1.329893339425e-02 6.578285247087e-02 6.279743742198e-03 1.173785421997e-02 7.048800587654e-03 3.481022547930e-03 1.514034438878e-02
1.440000000000e+02 1.238598600030e-01 1.298209466040e-02 6.770826876163e-02 6.556218955666e-03 1.117916963995e-02 6.852650083601e-03 3.866796148941e-03 1.471465732902e-02
1.450000000000e+02 1.238823682070e-01 1.161377411336e-02 6.972433626652e-02 6.489494349808e-03 1.143667846918e-02 6.831023376435e-03 3.587472718209e-03 1.419960055500e-02
1.460000000000e+02 1.216904819012e-01 1.336110662669e-02 6.626267731190e-02 6.105924025178e-03 1.090411841869e-02 7.060036994517e-03 3.254861105233e-03 1.474176440388e-02
1.470000000000e+02 1.234408169985e-01 1.179584022611e-02 6.910695135593e-02 5.899462848902e-03 1.202786341310e-02 7.152980659157e-03 3.056971589103e-03 1.440074574202e-02
1.480000000000e+02 1.201419234276e-01 1.130799949169e-02 6.787713617086e-02 5.760073661804e-03 1.103586610407e-02 7.115701679140e-03 2.942569321021e-03 1.410258188844e-02
1.490000000000e+02 1.231507211924e-01 1.234163902700e-02 6.957229226828e-02 5.454155150801e-03 1.152171939611e-02 6.556957494467e-03 3.353726817295e-03 1.435022987425e-02
1.500000000000e+02 1.180893033743e-01 1.016587205231e-02 6.751350313425e-02 5.500707775354e-03 1.168928761035e-02 6.317785475403e-03 3.261370118707e-03 1.364076696336e-02
1.510000000000e+02 1.188204512000e-01 1.151236332953e-02 6.606404483318e-02 5.132202990353e-03 1.144928764552e-02 7.099267560989e-03 3.181100822985e-03 1.438218448311e-02
1.520000000000e+02 1.162949949503e-01 1.239389181137e-02 6.589449197054e-02 4.773819353431e-03 1.096965838224e-02 6.862327922136e-03 2.829237142578e-03 1.257156208158e-02
1.530000000000e+02 1.129359230399e-01 1.020698156208e-02 6.297802925110e-02 4.924799315631e-03 1.086262613535e-02 6.293994840235e-03 3.313343971968e-03 1.435614377260e-02
1.540000000000e+02 1.129098087549e-01 9.623480029404e-03 6.486584991217e-02 4.706048872322e-03 1.081638969481e-02 6.566909141839e-03 3.001098288223e-03 1.333002746105e-02
