epoch total_loss interior_loss down_yy_loss up_yy_loss down_loss up_loss left_loss right_loss
43 2.23533154e+00 1.42099762e+00 1.97230965e-01 4.92428914e-02 2.50304461e-01 7.44070066e-03 1.14864167e-02 2.98628688e-01
44 2.14193511e+00 1.36706781e+00 1.91288978e-01 4.71865237e-02 2.35322952e-01 7.41244247e-03 1.19722914e-02 2.81684160e-01
45 2.17906094e+00 1.41145325e+00 1.89939216e-01 4.65473980e-02 2.29153454e-01 7.34988600e-03 1.12036308e-02 2.83414096e-01
46 2.11887264e+00 1.35499370e+00 1.94869727e-01 4.64062281e-02 2.26854250e-01 7.07987230e-03 1.09447017e-02 2.77724177e-01
47 2.07142353e+00 1.32728159e+00 1.80945009e-01 4.42444310e-02 2.18723491e-01 6.70698984e-03 1.05398912e-02 2.82982200e-01
48 2.06988978e+00 1.32340622e+00 1.75892755e-01 4.47609797e-02 2.26142868e-01 6.73365360e-03 1.06058409e-02 2.82347560e-01
49 2.01005483e+00 1.28925979e+00 1.77560538e-01 4.07268852e-02 2.05890954e-01 6.29834319e-03 1.07216416e-02 2.79596627e-01
50 1.95999515e+00 1.25170970e+00 1.76133335e-01 4.13954332e-02 1.97798118e-01 6.19946513e-03 1.03077646e-02 2.76451260e-01
51 1.95555961e+00 1.23718655e+00 1.84891373e-01 4.30726893e-02 2.09561318e-01 6.07990893e-03 9.51875560e-03 2.65249044e-01
52 1.91426492e+00 1.20551789e+00 1.73347086e-01 3.88626531e-02 2.18120590e-01 5.78107499e-03 9.40381829e-03 2.63231754e-01
53 1.89598536e+00 1.19347954e+00 1.70190856e-01 3.89803499e-02 2.14789212e-01 5.60002634e-03 9.38038342e-03 2.63565004e-01
54 1.85761905e+00 1.17186868e+00 1.83034882e-01 3.78917269e-02 1.87700599e-01 5.42876450e-03 9.64503735e-03 2.62049317e-01
55 1.82841361e+00 1.13871396e+00 1.67223707e-01 3.97633687e-02 2.01726213e-01 5.20025473e-03 9.89074633e-03 2.65895396e-01
56 1.78118861e+00 1.09765518e+00 1.86447769e-01 3.87769714e-02 1.99874759e-01 5.09601552e-03 9.59751941e-03 2.43740395e-01
57 1.75429630e+00 1.06385314e+00 1.77266821e-01 3.76391411e-02 2.05262139e-01 4.94746445e-03 9.92717687e-03 2.55400449e-01
58 1.70537496e+00 1.02193153e+00 1.94411516e-01 3.62829976e-02 1.89357132e-01 4.66545066e-03 9.29051079e-03 2.49435768e-01
59 1.69257641e+00 1.01332700e+00 1.86966613e-01 3.51079255e-02 1.96524456e-01 4.49954718e-03 9.50836483e-03 2.46642351e-01
60 1.57384431e+00 9.16778743e-01 1.75957188e-01 3.37479785e-02 1.81999490e-01 4.22636047e-03 9.24167875e-03 2.51892924e-01
61 1.58188140e+00 9.16799486e-01 1.71998829e-01 3.56746390e-02 1.86427474e-01 4.14358266e-03 8.74206051e-03 2.58095294e-01
62 1.53154349e+00 8.72521996e-01 1.75247505e-01 3.42552811e-02 1.88601270e-01 3.87244509e-03 9.00827162e-03 2.48036787e-01
63 1.43054032e+00 7.95486689e-01 1.82161734e-01 3.40088047e-02 1.75430372e-01 3.58981872e-03 8.99558328e-03 2.30867296e-01
64 1.41345358e+00 7.70850956e-01 1.81563482e-01 3.22833285e-02 1.80497959e-01 3.54333385e-03 9.14490968e-03 2.35569641e-01
65 1.34094191e+00 7.24054635e-01 1.78055674e-01 3.19287777e-02 1.68468639e-01 3.39894602e-03 8.62697605e-03 2.26408377e-01
66 1.32773113e+00 6.96098745e-01 1.73610300e-01 3.03592775e-02 1.79037765e-01 3.16836126e-03 8.87534954e-03 2.36581326e-01
67 1.25908351e+00 6.59924686e-01 1.76230595e-01 3.06841563e-02 1.63531438e-01 3.10986047e-03 8.62371642e-03 2.16979086e-01
68 1.20257878e+00 5.92753232e-01 1.78770274e-01 3.12626511e-02 1.64147571e-01 2.92619294e-03 8.61905981e-03 2.24099919e-01
69 1.12680972e+00 5.37377238e-01 1.73864633e-01 2.70311348e-02 1.59939274e-01 2.81600561e-03 8.07162095e-03 2.17709854e-01
70 1.11961663e+00 5.12543499e-01 1.71494797e-01 2.69305427e-02 1.62549898e-01 2.71772128e-03 8.61389190e-03 2.34766200e-01
71 1.08584332e+00 4.82036829e-01 1.79243281e-01 2.59228516e-02 1.64369211e-01 2.76138424e-03 8.34398624e-03 2.23165751e-01
72 1.06482327e+00 4.75387961e-01 1.80411085e-01 2.52974275e-02 1.50402591e-01 2.64553516e-03 8.13480187e-03 2.22543940e-01
73 9.93042707e-01 4.37204808e-01 1.66745529e-01 2.61659641e-02 1.53546855e-01 2.68890080e-03 8.33398011e-03 1.98356673e-01
74 1.01084709e+00 4.29300219e-01 1.82055026e-01 2.38667410e-02 1.62680268e-01 2.47641280e-03 8.22918396e-03 2.02239215e-01
75 9.75201488e-01 4.35599327e-01 1.68349013e-01 2.40843911e-02 1.36562541e-01 2.62490381e-03 7.71497423e-03 2.00266302e-01
76 9.50404525e-01 4.06636119e-01 1.79216757e-01 2.29800213e-02 1.30657151e-01 2.69854325e-03 7.34686060e-03 2.00869113e-01
77 9.20826435e-01 3.97477269e-01 1.70430750e-01 2.17071082e-02 1.30967245e-01 2.93819257e-03 6.95606461e-03 1.90349743e-01
78 8.86521816e-01 3.71285498e-01 1.85654789e-01 2.13960242e-02 1.24326549e-01 2.93188915e-03 6.42401446e-03 1.74503028e-01
79 8.84196043e-01 3.79062831e-01 1.80823117e-01 2.15224084e-02 1.18528433e-01 3.23874620e-03 5.83092170e-03 1.75189555e-01
80 8.52150500e-01 3.56421620e-01 1.90033376e-01 2.17218772e-02 1.08900398e-01 3.60273547e-03 5.69835585e-03 1.65772080e-01
81 8.68002057e-01 3.57769847e-01 2.01677322e-01 2.01185737e-02 1.09280802e-01 3.81057337e-03 5.22344513e-03 1.70121431e-01
82 7.95773864e-01 3.16991359e-01 2.00134724e-01 2.13116277e-02 1.07995354e-01 4.36336547e-03 4.63342480e-03 1.40344039e-01
83 7.69827187e-01 2.97806174e-01 1.94576398e-01 2.06718091e-02 9.69696566e-02 4.67715599e-03 4.24984284e-03 1.50876105e-01
84 7.73031831e-01 3.16934794e-01 1.94971204e-01 2.02014372e-02 9.43647474e-02 5.15692821e-03 3.59007227e-03 1.37812629e-01
85 7.47889936e-01 2.91991770e-01 1.98662430e-01 1.87713597e-02 9.57932174e-02 5.43267839e-03 3.33767012e-03 1.33900806e-01
86 7.52758980e-01 2.99330652e-01 1.99458629e-01 1.83209814e-02 9.02984962e-02 5.96285658e-03 3.03710508e-03 1.36350289e-01
87 7.36510515e-01 2.91248858e-01 1.90720618e-01 1.85090769e-02 9.54064131e-02 6.50932686e-03 2.72715860e-03 1.31389111e-01
88 7.16974318e-01 2.75765002e-01 2.04638347e-01 1.82383694e-02 8.71377438e-02 6.89638127e-03 2.37459387e-03 1.21923864e-01
89 7.04522491e-01 2.69901633e-01 2.10067213e-01 1.78188384e-02 7.48571157e-02 7.05659995e-03 2.32653553e-03 1.22494534e-01
90 7.00139463e-01 2.59829044e-01 2.14689255e-01 1.63412709e-02 7.86660463e-02 7.45033240e-03 2.08764756e-03 1.21075884e-01
91 6.88917994e-01 2.51754880e-01 2.06018478e-01 1.85956731e-02 8.06859732e-02 7.46700913e-03 1.87488925e-03 1.22521110e-01
92 6.42291784e-01 2.30474845e-01 1.97864175e-01 1.83410831e-02 7.57428333e-02 7.75630120e-03 1.82304927e-03 1.10289529e-01
93 6.36617005e-01 2.23584756e-01 2.11752966e-01 1.60713885e-02 6.58679754e-02 7.77891837e-03 1.75526342e-03 1.09805778e-01
94 6.22412980e-01 2.06802145e-01 2.08288372e-01 1.68984551e-02 7.31289089e-02 7.80408178e-03 1.67004589e-03 1.07820913e-01
95 6.14594340e-01 2.04797402e-01 2.01134071e-01 1.73229929e-02 7.40694776e-02 7.87102524e-03 1.59006321e-03 1.07809283e-01
96 5.86817741e-01 1.86452702e-01 2.06270233e-01 1.69521105e-02 6.77778497e-02 8.13813042e-03 1.53556454e-03 9.96911526e-02
97 5.82569003e-01 1.67905301e-01 2.15370253e-01 1.73356291e-02 6.77924603e-02 8.22442956e-03 1.38373219e-03 1.04557239e-01
98 5.84209800e-01 1.85662851e-01 2.07478702e-01 1.60391293e-02 6.16317354e-02 8.09317082e-03 1.34693237e-03 1.03957213e-01
99 5.76451242e-01 1.63853496e-01 2.17057690e-01 1.62076727e-02 6.78231716e-02 8.38564895e-03 1.22967246e-03 1.01893879e-01
100 5.60375988e-01 1.60772160e-01 2.20571160e-01 1.69994589e-02 5.95460683e-02 8.39414075e-03 1.12124300e-03 9.29717645e-02
101 5.39676845e-01 1.41969413e-01 2.22308025e-01 1.53942974e-02 5.62124774e-02 8.72122869e-03 1.01458270e-03 9.40568149e-02
102 5.31032443e-01 1.37484804e-01 2.19555095e-01 1.63503047e-02 5.81967384e-02 9.10055544e-03 8.54846032e-04 8.94901380e-02
103 5.45579970e-01 1.34464517e-01 2.38252267e-01 1.60806440e-02 5.58449849e-02 8.97735264e-03 7.45913421e-04 9.12142843e-02
104 5.11086106e-01 1.35349765e-01 2.11617529e-01 1.50954518e-02 5.10452278e-02 9.30671953e-03 6.83396240e-04 8.79880041e-02
105 4.99025196e-01 1.27539337e-01 2.13171139e-01 1.50421355e-02 5.21775298e-02 9.37860366e-03 6.09582639e-04 8.11068937e-02
106 4.85786825e-01 1.20542638e-01 2.04538301e-01 1.62868891e-02 5.41615896e-02 9.81749408e-03 5.16379427e-04 7.99235702e-02
107 4.78633583e-01 1.02699727e-01 2.16385037e-01 1.58730857e-02 4.97026928e-02 9.92838014e-03 4.60160518e-04 8.35845023e-02
